section,section_id,section_sis_id,submitted,attempt,410964: General,0,410772: Lab significantly reinforces the material taught in the lectures.,1.0,"410776: Through lab, I learned how to apply knowledge from this course to real-world problems.
 ",1.0,410798: Lab introduced new content that was not presented in the lectures.,1.0,410938: Did labs challenge you to an appropriate level?,1.0,410939: I looked forward to attending lab each week.,1.0,410933: Select your three favorite labs:,1.0,410935: Why were those three labs your favorite?,1.0,410936: What could have been done better in your favorite three labs?,1.0,410934: Select your three least favorite labs:,1.0,410937: Why were those three labs your least favorite? What could have been done better?,1.0,410961: Software,0,"410803: Prior to this class, I had no experience with programming.",1.0,"410802: Prior to this class, I had no experience with Jupyter Notebooks.",1.0,410834: The Jupyter Notebook labs were appropriate for my programming background.,1.0,410801: The software required for lab was reasonable and requirements were well communicated.,1.0,"410884: On a scale of 1 to 5, how challenging was installing the software required for labs?",1.0,"410885: On a scale of 1 to 5, how clear were the instructions for software installation?",1.0,"410831: Web-based labs (Traveling Salesman Problem, Shortest Path, and Minimum Spanning Tree) were self-explanatory.",1.0,410832: Jupyter Notebook labs were self-explanatory.,1.0,410833: Which style of lab did you prefer?,1.0,"410836: I could implement an idea (LP, algorithm, etc.) in a Jupyter Notebook independently.",1.0,410949: How did you feel about the use of Jupyter Notebooks in lab? What did you like/dislike? What could have been done better?,1.0,"410968: GILP (Python Package)
In both the simplex and branch  bound lab, we use a python package called gilp. This python package generated the linear programming visualizations in these labs (recall the isoprofit slider and rotating 3d LP feasible regions). The remaining questions ask about the python package itself as well as the labs that used it.",0,"410969: The python package, gilp, improved my understanding of the simplex algorithm.",1.0,"410970: The python package, gilp, improved my understanding of the branch and bound algorithm.",1.0,410973: Understanding the geometrical interpretation of a linear program helped me better reason about linear programs in general.,1.0,410974: Understanding the geometrical interpretation of the simplex and branch  bound algorithms helped me understand the mechanics of these algorithms.,1.0,"410977: Prior to seeing visualizations produced by gilp, I had a strong understanding of the geometrical interpretation of linear programs, simplex, and branch  bound.",1.0,"410975: The python package, gilp, taught me the geometrical interpretation of LPs, simplex, and branch  bound.",1.0,"411468: Was there any misconception you had about linear programs, simplex, or branch  bound that your interaction with gilp visualizations corrected? If yes, please briefly describe the misconception that was addressed.",1.0,410988: What did you particularly enjoy about the gilp components of the lab?,1.0,410989: What did you particularly dislike about the gilp components of the lab?,1.0,410990: How could gilp be improved to better accommodate students?,1.0,n correct,n incorrect,score
"DIS202-PT, LEC001-PT","26359, 26350","7124_2020FA_1_9478, 358586_2020FA_1_1_1_9476",2020-12-12 07:10:49 UTC,1,"",0,4 - Agree,0.0,5 - Strongly Agree,0.0,3 - Neutral,0.0,2,0.0,4 - Agree,0.0,"Minimum Spanning Tree,Maximum Flow,Baseball Elimination",0.0,The labs covered my three favorite topics from the course.,0.0,"In general, this applies to most labs, but if you could indicate better how we should write the code for some of the problems, it would help a lot. Sometimes, it was hard to figure out the exact method or function call we needed to use.",0.0,Branch & Bound + Knapsack,0.0,"",0.0,"",0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,3 - Neutral,0.0,4 - Agree,0.0,1 - Easy,1.0,4,0.0,4 - Agree,0.0,3 - Neutral,0.0,Web-based,1.0,3 - Neutral,0.0,"",0.0,"",0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,13,21,1.0
"LEC002-PT, DIS202-PT","31405, 26359","358586_2020FA_1_2_1_19896, 7124_2020FA_1_9478",2020-12-12 04:59:59 UTC,1,"",0,5 - Strongly Agree,0.0,4 - Agree,0.0,3 - Neutral,0.0,2,0.0,4 - Agree,0.0,"Transportation,First Year Writing Seminars,Seat Packing",0.0,"They related the concepts we were learning to concrete problems, and how to adapt them to different problems",0.0,"",0.0,"Baseball Elimination,Branch & Bound + Knapsack,Diet Problem",0.0,The labs felt a little harder to follow along each part,0.0,"",0,3 - Neutral,0.0,5 - Strongly Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,2,0.0,4,0.0,5 - Strongly Agree,0.0,4 - Agree,0.0,Jupyter Notebook,0.0,4 - Agree,0.0,"",0.0,"",0,5 - Strongly Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,3 - Neutral,0.0,3 - Neutral,0.0,"",0.0,"",0.0,"",0.0,"",0.0,11,23,1.0
"LEC001-PT, DIS202-PT","26350, 26359","358586_2020FA_1_1_1_9476, 7124_2020FA_1_9478",2020-12-12 04:45:17 UTC,1,"",0,5 - Strongly Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,3 - Just Right,0.0,4 - Agree,0.0,"Maximum Flow,Baseball Elimination,Transportation",0.0,Learning how to apply the methods I had learned in class in programming was interesting.,0.0,"I would have preferred documentation on the programming language and the modules used, but I am aiming for a computer science major, so I may be an exception.",0.0,Traveling Salesman Problem,1.0,I did not have a particular dislike toward any of the labs since they were all enjoyable and challenging.,0.0,"",0,1 - Strongly Disagree,1.0,5 - Strongly Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,3,0.0,4,0.0,4 - Agree,0.0,4 - Agree,0.0,Jupyter Notebook,0.0,4 - Agree,0.0,"Jupyter Notebooks were interesting since they provided real world applications of the methods we learned in lecture. I liked the visual and programming aspect since the visual aspect made it easy to understand, and the programming aspect appeals to my ambitions in computer science.",0.0,"",0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,3 - Neutral,0.0,No,0.0,I enjoyed moving the sliders and seeing the methods work visually.,0.0,I did not particularly dislike anything about the gilp components of the lab.,0.0,I am not sure.,0.0,13,21,1.0
"LEC002-PT, DIS203-PT","31405, 26345","358586_2020FA_1_2_1_19896, 7125_2020FA_1_10521",2020-12-12 04:18:26 UTC,1,"",0,4 - Agree,0.0,4 - Agree,0.0,2 - Disagree,0.0,3 - Just Right,0.0,4 - Agree,0.0,"Transportation,LP Formulation,Seat Packing",0.0,I enjoyed the transportation lab and the seat packing lab because they seemed most applicable to the real world. The LP Formulation lab was most enjoyable for me because it seemed to be the most versatile in its use and there was more to think about compared to the other problems.,0.0,I feel like more notes on syntax within the code blocks would make it easier to understand what is going on.,0.0,"Traveling Salesman Problem,Shortest Path,Maximum Flow",0.0,The TSP was among my least favorite because it felt the most confusing especially the questions at the end of the packet. The Shortest Path problem seemed a bit too menial labor like and the Maximum Flow lab didn't consist of any clear application use. I think one thing that could be made better is to have a sample answer and demonstrate why a sample answer is a good answer to a question. Some of the steps were also unclear in the web-based programs when pared with the handout.,0.0,"",0,2 - Disagree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,2,0.0,3,0.0,3 - Neutral,0.0,4 - Agree,0.0,Jupyter Notebook,0.0,2 - Disagree,0.0,"I really did like the use of the Jupyter Notebooks and I would like to have been able to interact more with the code in the notebook. Of course, not everyone in the course has programming experience so it is understandable as to why this may not be possible. But I would like to learn more about how these problems get solved. (like what is in ORtools?)",0.0,"",0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,No I think that my idea of what was happening geometrically and what I saw were pretty similar.,0.0,The showcasing step-by-step of what was going on for each iteration was definitely very helpful and very interesting.,0.0,Some gilp components don't work in safari.,0.0,If gilp could work with safari that would be nice because switching to chrome when a Jupyter notebook is already running can be confusing at first.,0.0,11,23,1.0
"LEC001-PT, DIS202-PT","26350, 26359","358586_2020FA_1_1_1_9476, 7124_2020FA_1_9478",2020-12-12 04:14:01 UTC,1,"",0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,3 - Just Right,0.0,4 - Agree,0.0,"Shortest Path,Baseball Elimination,Diet Problem",0.0,I enjoyed the visuals that we saw in the shortest path lab. And the other two I chose because I thought they were super interesting and applied to real life.,0.0,N/A,0.0,Branch & Bound + Knapsack,0.0,"I did not have any labs that were my least favorite, but I do not think I had understood the material well enough going into the branch and bound lab",0.0,"",0,1 - Strongly Disagree,1.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,3,0.0,5 - Clear,0.0,5 - Strongly Agree,0.0,4 - Agree,0.0,Jupyter Notebook,0.0,4 - Agree,0.0,"I really liked it. I am very interested in computer science, and I really enjoyed seeing how these algorithms are coded and processed by computers.",0.0,"",0,3 - Neutral,0.0,3 - Neutral,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,N/A,0.0,I am not the most visual person so it was really nice to see it,0.0,N/A,0.0,n/a,0.0,12,22,1.0
"LEC001-PT, DIS204-PT","26350, 31525","358586_2020FA_1_1_1_9476, 7126_2020FA_1_20000",2020-12-12 02:57:27 UTC,1,"",0,5 - Strongly Agree,0.0,4 - Agree,0.0,3 - Neutral,0.0,2,0.0,4 - Agree,0.0,"Maximum Flow,First Year Writing Seminars,Seat Packing",0.0,"I am not really sure, I pretty much enjoyed all labs equally. I suppose the FWS and seat packing were most applicable to the real world surrounding me, so it was the most interesting.",0.0,"I suppose in any of the labs I would rather more working through some things together, sometimes it was hard to figure out some questions or exactly what python wanted.",0.0,"Transportation,LP Formulation,Branch & Bound + Knapsack",0.0,"I am honestly not sure about this one, I just remember these as being rather long ones (I may be mistaken), and so they were hard to get through in the time given.",0.0,"",0,1 - Strongly Disagree,1.0,2 - Disagree,0.0,5 - Strongly Agree,0.0,4 - Agree,0.0,3,0.0,4,0.0,4 - Agree,0.0,3 - Neutral,0.0,Web-based,1.0,4 - Agree,0.0,"I thought it was a useful tool for seeing solutions without having to do every little step ourselves, however, we were throwing into python labs without any training, so I would often have to ask for help with the syntax (despite programming experience in python). Perhaps if you are going to use python in the future, dedicate a lecture or lab session to familiarizing students with Jupyter notebooks and syntax.",0.0,"",0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,5 - Strongly Agree,0.0,I suppose I could never picture 3d LPs before using gilp.,0.0,"I enjoyed seeing graphs and how they changed throughout the process, especially in branch and bound when it was split into regions. ",0.0,"I did not like that the graphs did not change for the slack variables, it stayed the same with the first two variables, and we couldn't see how the other variables affected the visual problem. ",0.0,"I am not sure, i don't know enough about gilp",0.0,13,21,1.0
"LEC002-PT, DIS203-PT","31405, 26345","358586_2020FA_1_2_1_19896, 7125_2020FA_1_10521",2020-12-12 02:22:04 UTC,1,"",0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,4 - Agree,0.0,2,0.0,4 - Agree,0.0,"Minimum Spanning Tree,Simplex,Seat Packing",0.0,"A lot of work went in to make and perfect these labs. They were in depth and quite frankly some of the most fun assignments I've ever done. From the complex numerical solvers to the thorough simulation software, these labs truly aided my understanding of the curriculum and sparked my interest further in OR. The labs truly helped me appreciate the power in computation today and how it's used to solve problems in the real world.",0.0,Maybe a little more clarity on what's desired by the questions and possibly fewer response questions and more coding/trial and error questions.,0.0,"Traveling Salesman Problem,Branch & Bound + Knapsack,Diet Problem",0.0,"These labs were not awful in content, but could use a little cleaning up. Instead of asking 40 short questions, maybe ask 25 more analytical questions. I feel a lot of these threw a lot of data at us, which is fine, but some checkpoints thrown in from time to time would be nice to ensure that we are fully grasping all the aspects of the problem and code.",0.0,"",0,3 - Neutral,0.0,2 - Disagree,0.0,4 - Agree,0.0,4 - Agree,0.0,4,0.0,4,0.0,3 - Neutral,0.0,4 - Agree,0.0,Jupyter Notebook,0.0,4 - Agree,0.0,"Jupyter Notebooks was great. It's a powerful coding firmware and has it's benefits. Loading packages sometimes was difficult and uploading files into the virtual desktop is not the easiest, but it was worth all the minor inconveniences. If there was a way to upload files easily to the notebook and keeping the file directory in tact, that would be nice. If not, at least a message in the beginning of the lab to check directories would be helpful. Also a note saying to load in ENGRI_1101 from terminal for the labs that need ortools would be helpful.",0.0,"",0,5 - Strongly Agree,0.0,4 - Agree,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,2 - Disagree,0.0,4 - Agree,0.0,"I never truly grasped from lecture that a limiting constraint maximizes a slack variable and that slack variable can then be graphed on a pair of axis (assuming 3 initial variables), which then hits a bound on a feasible region. Seeing the visualization and the iteration and objective value sliders and the planes graphed at every step was very helpful in my understanding of how linear programs look and how the Simplex algorithm truly works. The 3d graphing and geometries helped. This is also the case with the branch and bound 3D models.",0.0,"Seeing the feasible regions, planar constraints, and planar objective function of an LP was fascinating and aided to my understanding of the course. Seeing the iterations of branch and bound play out also aided.",0.0,"A little more data from the graphs produced from the package would be nice. For example, hovering over any point and seeing values, not just corner point of the feasible range would be really helpful.",0.0,"Something that would be really nice is a tutorial over how to work with the software. It was pretty late when I realized that I could rotate the 3D models and play around with some of the features. I feel that if more people knew how to operate with the package, not only would that spark more engagement, but it would assist with understanding the ideas taught in the course.",0.0,11,23,1.0
"DIS204-PT, LEC001-PT","31525, 26350","7126_2020FA_1_20000, 358586_2020FA_1_1_1_9476",2020-12-11 23:46:43 UTC,1,"",0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,5 - Too Easy,0.0,4 - Agree,0.0,"First Year Writing Seminars,Seat Packing,Diet Problem",0.0,They are useful to our real life.,0.0,Ask more questions.,0.0,"Transportation,First Year Writing Seminars,Branch & Bound + Knapsack",0.0,Sometimes I cannot install the software successfully.,0.0,"",0,2 - Disagree,0.0,5 - Strongly Agree,0.0,3 - Neutral,0.0,4 - Agree,0.0,4,0.0,5 - Clear,0.0,4 - Agree,0.0,4 - Agree,0.0,Web-based,1.0,4 - Agree,0.0,It is a useful tool for OR. ,0.0,"",0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,No,0.0,It is a useful visualization tool.,0.0,no,0.0,Have more clear instruction.,0.0,12,22,1.0
"DIS204-PT, LEC001-PT","31525, 26350","7126_2020FA_1_20000, 358586_2020FA_1_1_1_9476",2020-12-11 23:10:34 UTC,1,"",0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,4 - Agree,0.0,2,0.0,4 - Agree,0.0,"First Year Writing Seminars,LP Formulation,Seat Packing",0.0,These labs seemed the most applicable - particularly the writing seminar lab and the seat packing lab because they were specific to Cornell and thus made the labs super applicable.,0.0,I don't think anything needs to be changed,0.0,"Traveling Salesman Problem,Transportation,Simplex",0.0,"The TSP lab was just longer than the others which made it harder to complete on time. The other two labs (Transportation and Simplex) weren't necessarily bad, but I just found them less interesting compared to all the other labs.",0.0,"",0,2 - Disagree,0.0,5 - Strongly Agree,0.0,4 - Agree,0.0,4 - Agree,0.0,3,0.0,5 - Clear,0.0,5 - Strongly Agree,0.0,3 - Neutral,0.0,Jupyter Notebook,0.0,4 - Agree,0.0,"I really liked using Juptyer Notebooks because now, I feel like I can go home and solve real world problems just given our class experience and the software that we were provided.",0.0,"",0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,5 - Strongly Agree,0.0,3 - Neutral,0.0,4 - Agree,0.0,"Not necessarily misconceptions, but the gilp package helped me understand how the algorithms were working (particularly the Simplex method).",0.0,I enjoyed that gilp was very easy to work with and it's easy to understand how to manipulate and use the package.,0.0,"I didn't dislike anything, but I would appreciate more comments in the code - this would help me understand what a certain line of the code was doing (even if it wasn't necessary to understand, it would still be helpful).",0.0,"I don't think there are any necessary improvements, but it would help if there were more comments in the code.",0.0,11,23,1.0
"DIS201-PT, LEC001-PT","26355, 26350","7123_2020FA_1_9477, 358586_2020FA_1_1_1_9476",2020-12-11 22:59:57 UTC,1,"",0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,11,23,1.0
