date,team_1,score_1,team_2,score_2,winner
10/25/19,Rensselaer,3,Union,2,Rensselaer
10/26/19,Union,2,Rensselaer,1,Union
11/1/19,Brown,2,Yale,3,Yale
11/1/19,Dartmouth,3,Harvard,7,Harvard
11/2/19,Yale,1,Brown,5,Brown
11/8/19,Princeton,0,Harvard,3,Harvard
11/8/19,Yale,1,Colgate,2,Colgate
11/8/19,Brown,1,Cornell,4,Cornell
11/8/19,Quinnipiac,2,Dartmouth,2,tie
11/8/19,St. Lawrence,2,Rensselaer,6,Rensselaer
11/8/19,Clarkson,5,Union,1,Clarkson
11/9/19,Brown,4,Colgate,1,Brown
11/9/19,Princeton,1,Dartmouth,3,Dartmouth
11/9/19,Quinnipiac,2,Harvard,7,Harvard
11/9/19,Yale,2,Cornell,6,Cornell
11/9/19,St. Lawrence,3,Union,2,St. Lawrence
11/9/19,Clarkson,2,Rensselaer,1,Clarkson
11/15/19,Colgate,4,St. Lawrence,1,Colgate
11/15/19,Harvard,4,Brown,1,Harvard
11/15/19,Union,1,Quinnipiac,2,Quinnipiac
11/15/19,Rensselaer,2,Princeton,2,tie
11/15/19,Dartmouth,4,Yale,3,Dartmouth
11/15/19,Cornell,4,Clarkson,2,Cornell
11/16/19,Dartmouth,4,Brown,1,Dartmouth
11/16/19,Cornell,6,St. Lawrence,1,Cornell
11/16/19,Colgate,1,Clarkson,5,Clarkson
11/16/19,Union,2,Princeton,1,Union
11/16/19,Harvard,6,Yale,1,Harvard
11/16/19,Rensselaer,1,Quinnipiac,3,Quinnipiac
11/22/19,Clarkson,2,Brown,1,Clarkson
11/22/19,Quinnipiac,1,Cornell,2,Cornell
11/22/19,Harvard,6,Rensselaer,3,Harvard
11/22/19,St. Lawrence,3,Yale,6,Yale
11/22/19,Princeton,2,Colgate,2,tie
11/23/19,Princeton,1,Cornell,5,Cornell
11/23/19,Clarkson,4,Yale,1,Clarkson
11/23/19,St. Lawrence,2,Brown,3,Brown
11/23/19,Quinnipiac,1,Colgate,3,Colgate
12/6/19,Cornell,3,Harvard,1,Cornell
12/6/19,Yale,4,Rensselaer,1,Yale
12/6/19,Brown,0,Union,5,Union
12/6/19,Colgate,5,Dartmouth,1,Colgate
12/7/19,Cornell,1,Dartmouth,2,Dartmouth
12/7/19,Yale,2,Union,0,Yale
12/7/19,Colgate,4,Harvard,3,Colgate
12/7/19,St. Lawrence,1,Clarkson,3,Clarkson
12/7/19,Brown,1,Rensselaer,2,Rensselaer
12/28/19,Quinnipiac,3,Princeton,1,Quinnipiac
12/29/19,Princeton,3,Quinnipiac,4,Quinnipiac
1/3/20,Union,5,St. Lawrence,4,Union
1/3/20,Dartmouth,4,Princeton,3,Dartmouth
1/3/20,Rensselaer,3,Clarkson,1,Rensselaer
1/3/20,Harvard,1,Quinnipiac,6,Quinnipiac
1/4/20,Rensselaer,3,St. Lawrence,0,Rensselaer
1/4/20,Harvard,3,Princeton,3,tie
1/4/20,Dartmouth,1,Quinnipiac,5,Quinnipiac
1/4/20,Union,0,Clarkson,2,Clarkson
1/10/20,Princeton,1,Clarkson,2,Clarkson
1/10/20,Cornell,3,Rensselaer,0,Cornell
1/10/20,Quinnipiac,3,St. Lawrence,2,Quinnipiac
1/10/20,Colgate,3,Union,2,Colgate
1/11/20,Colgate,0,Rensselaer,3,Rensselaer
1/11/20,Cornell,3,Union,3,tie
1/11/20,Princeton,1,St. Lawrence,0,Princeton
1/11/20,Quinnipiac,2,Clarkson,5,Clarkson
1/17/20,Union,0,Yale,5,Yale
1/17/20,Rensselaer,3,Brown,1,Rensselaer
1/17/20,St. Lawrence,1,Harvard,3,Harvard
1/17/20,Clarkson,2,Dartmouth,3,Dartmouth
1/18/20,Clarkson,5,Harvard,3,Clarkson
1/18/20,Union,2,Brown,3,Brown
1/18/20,Rensselaer,1,Yale,4,Yale
1/18/20,St. Lawrence,1,Dartmouth,3,Dartmouth
1/24/20,Harvard,3,Colgate,3,tie
1/24/20,Dartmouth,2,Cornell,3,Cornell
1/25/20,Harvard,1,Cornell,1,tie
1/25/20,Dartmouth,3,Colgate,3,tie
1/31/20,Dartmouth,1,Rensselaer,7,Rensselaer
1/31/20,Colgate,3,Princeton,0,Colgate
1/31/20,Yale,1,Clarkson,3,Clarkson
1/31/20,Cornell,0,Quinnipiac,5,Quinnipiac
1/31/20,Harvard,8,Union,5,Harvard
1/31/20,Brown,2,St. Lawrence,0,Brown
2/1/20,Dartmouth,3,Union,4,Union
2/1/20,Cornell,5,Princeton,3,Cornell
2/1/20,Brown,1,Clarkson,4,Clarkson
2/1/20,Colgate,1,Quinnipiac,2,Quinnipiac
2/1/20,Yale,2,St. Lawrence,2,tie
2/7/20,Princeton,3,Brown,4,Brown
2/7/20,Quinnipiac,3,Yale,2,Quinnipiac
2/7/20,Harvard,6,Dartmouth,2,Harvard
2/8/20,Princeton,3,Yale,5,Yale
2/8/20,Cornell,4,Colgate,1,Cornell
2/8/20,Quinnipiac,2,Brown,2,tie
2/8/20,Clarkson,2,St. Lawrence,0,Clarkson
2/9/20,Colgate,3,Cornell,5,Cornell
2/14/20,Brown,2,Dartmouth,5,Dartmouth
2/14/20,Clarkson,3,Quinnipiac,2,Clarkson
2/14/20,St. Lawrence,3,Princeton,6,Princeton
2/14/20,Union,2,Cornell,5,Cornell
2/14/20,Yale,4,Harvard,4,tie
2/14/20,Rensselaer,4,Colgate,1,Rensselaer
2/15/20,Yale,4,Dartmouth,3,Yale
2/15/20,Brown,1,Harvard,1,tie
2/15/20,Clarkson,3,Princeton,1,Clarkson
2/15/20,St. Lawrence,1,Quinnipiac,6,Quinnipiac
2/15/20,Rensselaer,2,Cornell,4,Cornell
2/15/20,Union,0,Colgate,4,Colgate
2/21/20,Princeton,2,Union,2,tie
2/21/20,Harvard,5,Clarkson,2,Harvard
2/21/20,Quinnipiac,0,Rensselaer,4,Rensselaer
2/21/20,Dartmouth,5,St. Lawrence,2,Dartmouth
2/21/20,Colgate,1,Brown,3,Brown
2/21/20,Cornell,4,Yale,0,Cornell
2/22/20,Princeton,1,Rensselaer,7,Rensselaer
2/22/20,Colgate,2,Yale,4,Yale
2/22/20,Cornell,3,Brown,0,Cornell
2/22/20,Harvard,3,St. Lawrence,6,St. Lawrence
2/22/20,Quinnipiac,3,Union,2,Quinnipiac
2/22/20,Dartmouth,0,Clarkson,4,Clarkson
2/28/20,Yale,2,Princeton,1,Yale
2/28/20,Clarkson,1,Colgate,1,tie
2/28/20,St. Lawrence,0,Cornell,5,Cornell
2/28/20,Brown,1,Quinnipiac,2,Quinnipiac
2/28/20,Union,3,Dartmouth,5,Dartmouth
2/28/20,Rensselaer,2,Harvard,0,Rensselaer
2/29/20,Brown,2,Princeton,0,Brown
2/29/20,Rensselaer,4,Dartmouth,1,Rensselaer
2/29/20,Yale,0,Quinnipiac,5,Quinnipiac
2/29/20,Clarkson,1,Cornell,5,Cornell
2/29/20,St. Lawrence,2,Colgate,2,tie
2/29/20,Union,1,Harvard,4,Harvard
