Tm,W,L,W-L%,GB,RS,RA,pythW-L%
LAA,83,53,.610,--,638,520,.592
BAL,79,57,.581,4.0,591,515,.563
OAK,79,58,.577,4.5,644,488,.624
DET,75,62,.547,8.5,645,601,.532
KCR,75,62,.547,8.5,559,537,.518
SEA,73,63,.537,10.0,538,447,.584
CLE,71,65,.522,12.0,581,567,.511
NYY,70,65,.519,12.5,535,562,.477
TOR,69,67,.507,14.0,598,600,.498
TBR,67,71,.486,17.0,538,522,.514
CHW,62,75,.453,21.5,576,653,.443
BOS,60,77,.438,23.5,526,599,.441
MIN,60,77,.438,23.5,600,647,.466
HOU,59,79,.428,25.0,546,640,.428
TEX,53,84,.387,30.5,545,678,.401
