,start,end,street_name,trip_time
0,598,597,MadisonAvenue,1
1,103,597,East60thStreet,1
2,599,598,MadisonAvenue,1
3,1152,598,East59thStreet,1
4,601,600,MadisonAvenue,1
5,418,600,East55thStreet,1
6,602,1587,MadisonAvenue,1
7,1586,1587,East53rdStreet,1
8,603,1132,MadisonAvenue,1
9,1131,1132,East51stStreet,1
10,604,1326,MadisonAvenue,1
11,1325,1326,East49thStreet,1
12,632,1614,MadisonAvenue,1
13,1613,1614,East89thStreet,1
14,1420,3059,AmsterdamAvenue,1
15,3060,3059,West106thStreet,1
16,2964,2463,LaightStreet,1
17,1098,2463,CanalStreet,1
18,1249,2463,CanalStreet,1
19,2464,2463,6thAvenue,1
20,1293,274,AvenueC,1
21,1293,1367,East20thStreet,1
22,1366,1367,StuyvesantLoopNorth,1
23,703,1311,MadisonAvenue,1
24,707,708,East71stStreet,1
25,2538,708,MadisonAvenue,1
26,707,1627,ParkAvenue,1
27,1341,1627,ParkAvenue,1
28,1626,1627,East72ndStreet,1
29,1628,1627,East72ndStreet,1
30,2298,986,AmsterdamAvenue,1
31,2653,986,West114thStreet,1
32,985,986,AmsterdamAvenue,1
33,2298,1499,AmsterdamAvenue,1
34,2654,1499,West112thStreet,1
35,987,1499,AmsterdamAvenue,1
36,714,571,MadisonAvenue,1
37,237,571,East123rdStreet,1
38,330,2496,3rdAvenue,1
39,2497,2496,East26thStreet,1
40,1073,1072,RiversideDrive,1
41,1492,3045,AmsterdamAvenue,1
42,3044,3045,West84thStreet,1
43,1065,1066,RiversideDrive,1
44,1067,1066,RiversideDrive,1
45,2128,1066,RiversideDrive,1
46,1065,1419,RiversideDrive,1
47,2305,1419,West105thStreet,1
48,1065,2306,West104thStreet,1
49,2307,2306,WestEndAvenue,1
50,2305,2306,WestEndAvenue,1
51,1066,1045,RiversideDrive,1
52,1066,1065,RiversideDrive,1
53,1046,1065,RiversideDrive,1
54,1066,1067,RiversideDrive,1
55,1044,1067,CathedralParkway,1
56,2297,1067,RiversideDrive,1
57,2574,1630,HudsonStreet,1
58,2575,1630,GansevoortStreet,1
59,2809,2808,ShermanAvenue,1
60,2127,2808,DyckmanStreet,1
61,2126,2808,DyckmanStreet,1
62,2807,2808,ShermanAvenue,1
63,2809,2810,ShermanAvenue,1
64,2300,2810,ArdenStreet,1
65,2811,2810,ShermanAvenue,1
66,754,585,MadisonAvenue,1
67,38,585,East91stStreet,1
68,2873,0,GoldStreet,1
69,411,0,GoldStreet,1
70,2873,2874,SpruceStreet,1
71,762,1951,MadisonAvenue,1
72,1950,1951,East95thStreet,1
73,2876,2875,FortWashingtonAvenue,1
74,1016,2875,West190thStreet,1
75,2748,2875,West190thStreet,1
76,2876,2877,FortWashingtonAvenue,1
77,2878,2877,FortWashingtonAvenue,1
78,2708,2709,Broadway,1
79,531,2709,RectorStreet,1
80,1433,1432,AvenueC,1
81,86,1432,East16thStreet,4
82,1107,1432,AvenueC,1
83,803,572,MadisonAvenue,1
84,53,572,East121stStreet,1
85,2455,2454,6thAvenue,1
86,2041,2454,WaverlyPlace,1
87,2458,1559,MinettaStreet,1
88,2458,2264,DowningStreet,1
89,2265,2264,BedfordStreet,1
90,2458,2457,6thAvenue,1
91,1559,2457,MinettaLane,1
92,2234,2457,CarmineStreet,1
93,821,2121,MadisonAvenue,1
94,2120,2121,East57thStreet,1
95,2122,2121,East57thStreet,1
96,1517,2216,AllenStreet,1
97,1517,2547,RivingtonStreet,1
98,1522,1521,RivingtonStreet,1
99,16,2164,PrinceStreet,1
100,2163,2164,MottStreet,1
101,2533,2455,6thAvenue,1
102,1985,2455,WestWashingtonPlace,1
103,2954,1884,BeachStreet,1
104,1690,1884,GreenwichStreet,1
105,1371,1039,RiversideDrive,1
106,1038,1039,RiversideDrive,1
107,1371,2641,West142ndStreet,1
108,1901,1449,West34thStreet,1
109,731,1449,9thAvenue,1
110,1771,1449,West34thStreet,2
111,2630,2078,West164thStreet,1
112,2077,2078,SaintNicholasAvenue,1
113,2079,2078,SaintNicholasAvenue,1
114,2630,2629,Broadway,1
115,2077,2629,West165thStreet,1
116,2891,2629,West165thStreet,1
117,2631,2080,West162ndStreet,1
118,960,2080,AmsterdamAvenue,1
119,961,2080,AmsterdamAvenue,1
120,2081,2080,SaintNicholasAvenue,1
121,2079,2080,SaintNicholasAvenue,1
122,2633,963,West158thStreet,1
123,964,963,AmsterdamAvenue,1
124,1378,963,AmsterdamAvenue,1
125,2633,2897,Broadway,1
126,1378,2897,West159thStreet,1
127,2896,2897,FortWashingtonAvenue,1
128,2634,965,West155thStreet,1
129,1402,965,AmsterdamAvenue,1
130,2033,965,AmsterdamAvenue,1
131,2086,965,West155thStreet,1
132,2635,967,West152ndStreet,1
133,966,967,AmsterdamAvenue,1
134,968,967,AmsterdamAvenue,1
135,2636,969,West150thStreet,1
136,968,969,AmsterdamAvenue,1
137,1922,969,AmsterdamAvenue,1
138,2637,1289,West148thStreet,1
139,970,1289,AmsterdamAvenue,1
140,1922,1289,AmsterdamAvenue,1
141,2640,972,West144thStreet,1
142,742,972,West144thStreet,1
143,973,972,AmsterdamAvenue,1
144,1931,972,AmsterdamAvenue,1
145,2640,2639,Broadway,1
146,1931,2639,West145thStreet,1
147,1930,2639,West145thStreet,1
148,2641,1372,West142ndStreet,1
149,973,1372,HamiltonPlace,1
150,2642,1987,West140thStreet,1
151,436,1987,HamiltonPlace,1
152,2643,1041,West137thStreet,1
153,1042,1041,RiversideDrive,1
154,2645,1967,West133rdStreet,1
155,1303,1967,12thAvenue,1
156,2561,1967,12thAvenue,1
157,2645,1968,West133rdStreet,1
158,1385,1968,OldBroadway,1
159,1969,1968,West133rdStreet,1
160,2651,868,West122ndStreet,1
161,1076,868,West122ndStreet,1
162,2524,868,ClaremontAvenue,1
163,3037,868,ClaremontAvenue,1
164,2651,1827,West122ndStreet,1
165,982,1827,AmsterdamAvenue,1
166,1317,1827,AmsterdamAvenue,1
167,1820,1827,MorningsideDrive,1
168,1853,1852,CentralParkWest,1
169,2672,1852,West64thStreet,1
170,1851,1852,CentralParkWest,1
171,1853,1854,CentralParkWest,1
172,3032,1854,CentralParkWest,1
173,1854,1853,CentralParkWest,1
174,1852,1853,CentralParkWest,1
175,2655,988,CathedralParkway,1
176,987,988,AmsterdamAvenue,1
177,989,988,AmsterdamAvenue,1
178,1826,988,CathedralParkway,1
179,2655,1044,CathedralParkway,1
180,1045,1044,RiversideDrive,1
181,1067,1044,CathedralParkway,1
182,1304,1042,RiversideDrive,1
183,1041,1042,RiversideDrive,1
184,1304,2644,West135thStreet,1
185,1332,2644,West135thStreet,1
186,2915,524,LenoxAvenue,1
187,525,524,West111thStreet,1
188,1502,524,LenoxAvenue,1
189,2056,524,SaintNicholasAvenue,1
190,2915,1994,CentralParkNorth,1
191,1993,1994,CentralParkNorth,1
192,2484,2244,1stAvenue,1
193,2245,2244,East64thStreet,1
194,2134,73,10thAvenue,1
195,2688,669,BondStreet,1
196,659,245,ChrystieStreet,1
197,263,245,GrandStreet,1
198,1455,245,GrandStreet,1
199,2205,245,ChrystieStreet,1
200,659,1456,HesterStreet,1
201,1455,1456,TheBowery,1
202,2068,2069,SaintNicholasAvenue,1
203,2070,2069,SaintNicholasAvenue,1
204,2068,2756,SaintNicholasAvenue,1
205,2755,2756,West180thStreet,1
206,2067,2756,SaintNicholasAvenue,1
207,2069,2068,SaintNicholasAvenue,1
208,2756,2068,SaintNicholasAvenue,1
209,2069,2070,SaintNicholasAvenue,1
210,95,2070,West177thStreet,1
211,2071,2070,SaintNicholasAvenue,1
212,1954,1397,AmsterdamAvenue,1
213,2664,1397,West88thStreet,1
214,2924,1834,CentralParkWest,1
215,1833,1834,CentralParkWest,1
216,2924,2931,CentralParkWest,1
217,2282,2931,97thStreetTransverse,1
218,2961,2931,CentralParkWest,1
219,2652,2524,West120thStreet,1
220,868,2524,ClaremontAvenue,1
221,869,2524,ClaremontAvenue,1
222,2523,2524,West120thStreet,1
223,2652,2525,West120thStreet,1
224,983,2525,AmsterdamAvenue,1
225,982,2525,AmsterdamAvenue,1
226,2526,2525,West120thStreet,1
227,2934,1312,5thAvenue,1
228,1311,1312,East101stStreet,1
229,214,269,MorrisStreet,1
230,3033,123,WaterStreet,1
231,2502,123,WaterStreet,1
232,3033,665,WaterStreet,1
233,1984,665,WaterStreet,1
234,3033,2796,HanoverSquare,1
235,1508,1069,RiversideDrive,1
236,1068,1069,RiversideDrive,1
237,1508,1070,RiversideDrive,1
238,869,1070,West119thStreet,1
239,2523,1070,RiversideDrive,1
240,2567,1457,BeaverStreet,1
241,2224,1457,SouthWilliamStreet,1
242,2796,1457,WilliamStreet,1
243,52,2005,PrinceStreet,1
244,2004,2005,WoosterStreet,1
245,2781,2467,East75thStreet,1
246,1242,2467,1stAvenue,1
247,2781,2780,YorkAvenue,1
248,117,2780,East76thStreet,1
249,2779,2780,YorkAvenue,1
250,2781,2782,YorkAvenue,1
251,2783,2782,YorkAvenue,1
252,1242,2782,East74thStreet,1
253,2780,2779,YorkAvenue,1
254,2778,2779,YorkAvenue,1
255,2780,2781,YorkAvenue,1
256,2782,2781,YorkAvenue,1
257,2129,990,AmsterdamAvenue,1
258,2148,1009,AmsterdamAvenue,1
259,2667,1009,West74thStreet,1
260,2704,2705,Broadway,1
261,1154,2705,FultonStreet,1
262,2378,2377,11thAvenue,1
263,2376,2377,11thAvenue,1
264,2378,2379,11thAvenue,1
265,2380,2379,11thAvenue,1
266,2380,2381,11thAvenue,1
267,1751,2712,West58thStreet,1
268,1246,2472,MadisonAvenue,1
269,2471,2472,East75thStreet,1
270,1940,747,AvenueB,1
271,199,747,AvenueB,1
272,748,747,East6thStreet,1
273,1940,1941,East7thStreet,1
274,748,1941,AvenueA,1
275,1957,1941,AvenueA,1
276,2386,2387,11thAvenue,1
277,2387,2386,11thAvenue,1
278,914,915,2ndAvenue,1
279,1370,8,RiversideBoulevard,1
280,1428,8,RiversideBoulevard,1
281,1370,1335,West66thStreet,1
282,2337,1335,West66thStreet,1
283,2288,533,10thAvenue,1
284,76,533,10thAvenue,1
285,2289,533,PostAvenue,1
286,2288,2287,West207thStreet,1
287,1125,2287,9thAvenue,1
288,2286,2287,West207thStreet,1
289,2288,2289,West207thStreet,1
290,533,2289,PostAvenue,1
291,534,2289,PostAvenue,1
