,id,proper,dist,ra_2000,dec_2000,pmra,pmdec,ra_2020,dec_2020
0,0,Sol,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,676,Alpheratz,97.0255804,2.096865,29.090432,3.7688887332862104e-05,-4.5263887020119983e-05,2.0976187777466575,29.0895267222596
2,744,Caph,54.750060399999995,2.293305,59.14978,0.0001453861051086873,-5.0116664597545555e-05,2.2962127221021738,59.14877766670805
3,1065,Algenib,391.596576,3.30897,15.183596,1.305555501654274e-06,-2.2888887943896208e-06,3.3089961111100332,15.183550222224111
4,2076,Ankaa,84.727188,6.5708400000000005,-42.305981,6.465555288618059e-05,-9.823332927766327e-05,6.572133111057724,-42.30794566658555
5,3172,Shedir,228.271498,10.126740000000002,56.537331,1.3988888311342389e-05,-8.93611074217404e-06,10.127019777766229,56.53715227778516
6,3413,Diphda,96.3379508,10.89735,-17.986605,6.466388621916987e-05,9.086110735981127e-06,10.898643277724382,-17.98642327778528
7,3759,96 G. Psc,24.3178838,12.095730000000001,5.280615,0.00021056665797319272,-0.0003170055424676363,12.099941333159466,5.2742748891506475
8,3820,Van Maanen's Star,13.9046012,12.29124,5.38861,0.0003425138747478303,-0.0007529333022476614,12.298090277494957,5.373551333955047
9,4417,Cih,549.1583524,14.177145,60.71674,7.124999705836622e-06,-1.0611110673019843e-06,14.177287499994117,60.71671877777865
10,5436,Mirach,197.4576674,17.43291,35.620558,4.8774997986271054e-05,-3.11749987129062e-05,17.433885499959725,35.61993450002574
11,6672,Ruchbah,99.420867,21.453239999999997,60.235283,8.2566663257812e-05,-1.3747221654653197e-05,21.454891333265152,60.23500805556691
12,7574,Achernar,139.46126460000002,24.42834,-57.236757,2.4449998990555148e-05,-1.1133332873681552e-05,24.42882899997981,-57.23697966665747
13,8884,Sheratan,58.6690272,28.66002,20.808035,2.675555445092333e-05,-3.022222097446489e-05,28.660555111089018,20.80743055558051
14,9618,Almaak,393.0119578,30.97476,42.329725,1.1966666172609813e-05,-1.4124999416834005e-05,30.974999333323453,42.329442500011666
15,9861,Hamal,65.81933120000001,31.793325000000003,23.462423,5.298055336819567e-05,-4.049166499492415e-05,31.79438461106737,23.461613166700104
16,10800,Mira,298.99165800000003,34.83663,-2.977643,2.8694443259763086e-06,-6.65222194757799e-05,34.83668738888652,-2.9789734443895157
17,11734,Polaris,432.626012,37.94625,89.264109,1.2283332826202551e-05,-3.261110976472591e-06,37.946495666656524,89.26404377778047
18,12082,268 G. Cet,23.4221386,39.020355,6.88687,0.000501741645951716,0.00040069442790133833,39.030389832919035,6.894883888558027
19,13813,Acamar,161.245553,44.565345,-40.304672,-1.4869443830543252e-05,7.141666371815188e-06,44.56504761112339,-40.30452916667256
20,14100,Menkar,249.1978804,45.56988,4.089734,-3.2805554201142504e-06,-2.187777687452992e-05,45.569814388891594,4.0892964444625095
21,14540,Algol,89.93660200000001,47.04222,40.955648,6.638888614795138e-07,-3.9999998348556473e-07,47.04223327777723,40.95564000000033
22,15471,82 G. Eri,19.7135708,49.97916,-43.069784,0.0008439110762693226,0.00020176110278118413,49.99603822152539,-43.06574877794437
23,15824,Mirphak,506.52172900000005,51.08067,49.86118,6.697221945720116e-06,-7.2249997017080145e-06,51.08080394443891,49.86103550000596
24,17661,Alcyone,403.21386279999996,56.87115,24.105137,5.3749997780872775e-06,-1.1974999505599094e-05,56.871257499995565,24.104897500009887
25,18497,Zaurak,203.3664542,59.507355,-13.508515,1.6808332639383e-05,-3.092777650089082e-05,59.50769116665278,-13.509133555530017
26,21368,Aldebaran,66.6530984,68.98015500000001,16.509301,1.7438888168905387e-05,-5.2599997828351774e-05,68.98050377776339,16.508249000043435
27,22961,Hassaleh,493.4946058,74.24840999999999,33.16609,1.0083332917031946e-06,-5.149999787376647e-06,74.24843016666583,33.16598700000425
28,23820,Cursa,89.3699926,76.962435,-5.086446,-2.3163887932542534e-05,-2.0955554690382644e-05,76.96197172224134,-5.0868651110938075
