,name,lon,lat,x,y
415,42459820,-74.00383670000002,40.710545399999994,-8238069.418192573,4969740.4703863235
416,42459636,-73.9695711,40.749594200000004,-8234254.989048844,4975476.731450063
417,42459579,-73.964442,40.753157,-8233684.020248617,4976000.273713992
418,42459493,-74.012328,40.713941,-8239014.665384742,4970239.149764346
419,42459436,-74.00825400000002,40.736961,-8238561.149779253,4973620.548446184
421,42459180,-73.94634690000002,40.7948049,-8231669.682930768,4982122.383896018
422,42459041,-73.94825209999998,40.7921971,-8231881.768824621,4981738.932844811
423,42458960,-73.95054300000002,40.789054799999995,-8232136.790646083,4981276.908891688
424,42458943,-73.988519,40.777348499999995,-8236364.259628448,4979555.880857794
425,42458936,-73.940436,40.848019,-8231011.684552635,4989950.280396518
426,42458766,-73.95756180000002,40.7794356,-8232918.119888063,4979862.698341908
427,42458728,-73.920897,40.869877,-8228836.613022023,4993167.455363441
428,42458670,-73.9449455,40.8498966,-8231513.679796368,4990226.593729261
429,42458663,-73.9433047,40.8514984,-8231331.026775872,4990462.325683372
430,42458659,-73.9337455,40.8645128,-8230266.901499483,4992377.825995053
431,42458435,-73.9766243,40.7957927,-8235040.147681307,4982267.633993897
432,42458313,-73.994153,40.722722999999995,-8236991.433639578,4971528.99628518
433,42458267,-73.99695200000002,40.72388,-8237303.016894308,4971698.942065324
434,42458112,-73.9454246,40.796068700000006,-8231567.012964405,4982308.218533883
435,42458034,-73.972924,40.739009,-8234628.232169528,4973921.435023778
436,42458017,-73.9744757,40.7367386,-8234800.966623389,4973587.874601967
437,42457940,-73.9727023,40.74004650000001,-8234603.552638416,4974073.865230847
438,42457925,-73.9730957,40.7389765,-8234647.345726095,4973916.66014003
439,42457821,-73.99274799999998,40.713845,-8236835.02975501,4970225.050810842
440,42457788,-73.9722363,40.7688549,-8234551.677755708,4978307.36498599
441,42457735,-74.008554,40.733401,-8238594.54562649,4973097.544994166
442,42457728,-74.00296999999998,40.73425200000001,-8237972.937589899,4973222.563779667
443,42457426,-74.008436,40.734790999999994,-8238581.4099265775,4973301.74806791
444,42457421,-74.003342,40.735539,-8238014.348440478,4973411.6375308
445,42457292,-74.003108,40.70767100000001,-8237988.299679629,4969318.3545542015
446,42457282,-73.926406,40.867384,-8229449.872096805,4992800.468917795
447,42457209,-73.98644300000002,40.773178,-8236133.160365561,4978942.8186882585
451,42456986,-74.00907,40.730434,-8238651.98648374,4972661.681193652
452,42456961,-73.975374,40.737233,-8234900.96492197,4973660.509411343
453,42456831,-73.93575600000001,40.815326,-8230490.709335723,4985140.333308053
454,42456711,-73.94969499999998,40.796217,-8232042.391717887,4982330.025441533
455,42456708,-73.95160200000002,40.793608,-8232254.677986831,4981946.389786139
456,42456683,-73.971648,40.766143,-8234486.188499274,4977908.763131913
457,42456578,-73.95473879999999,40.7833046,-8232603.86496555,4980431.492395003
458,42456575,-73.9580958,40.7847179,-8232977.564496145,4980639.274406372
459,42456568,-73.982727,40.745181,-8235719.497137773,4974828.264470118
460,42456555,-73.985428,40.741471000000004,-8236020.171082405,4974283.157614844
462,42456543,-73.9881523,40.737728999999995,-8236323.4387711715,4973733.379827257
464,42456492,-74.006478,40.711231,-8238363.446363604,4969841.155868718
465,42456464,-74.005475,40.730104,-8238251.7929143375,4972613.20411556
470,42456336,-73.95330229999998,40.790226200000006,-8232443.954517025,4981449.141595912
471,42456335,-73.953889,40.790471000000004,-8232509.265662275,4981485.135292016
472,42456303,-73.99478609999998,40.7316,-8237061.910009195,4972832.968795055
475,42456297,-74.013518,40.706943,-8239147.135578788,4969211.448064491
476,42456211,-73.9940304,40.73128370000001,-8236977.7858700035,4972786.503431207
477,42456206,-73.995308,40.729776,-8237120.007651443,4972565.0210761735
478,42456205,-73.995812,40.72918,-8237176.112674803,4972477.4695758885
479,42456197,-73.99934499999998,40.725008,-8237569.404435772,4971864.631028775
480,42456162,-73.9407754,40.8024388,-8231049.46638781,4983244.959549365
481,42456132,-73.93063670000002,40.8028843,-8229920.8314665025,4983310.474933428
482,42456115,-73.93542070000002,40.7959869,-8230453.383910459,4982296.190199726
483,42456110,-73.93771729999997,40.792843,-8230709.040253012,4981833.904612085
484,42456107,-73.938649,40.791558,-8230812.756622585,4981644.961844463
485,42456101,-73.94055920000002,40.78893970000001,-8231025.399113901,4981259.985729475
486,42456091,-73.9428589,40.7857921,-8231281.400546878,4980797.20521835
487,42456084,-73.9447213,40.783249299999994,-8231488.72196653,4980423.362331893
488,42456076,-73.94705479999998,40.780056099999996,-8231748.485998295,4979953.917799011
489,42456066,-73.9498734,40.7761941,-8232062.251115046,4979386.180574004
490,42456060,-73.9527214,40.7723305,-8232379.289024826,4978818.24116334
491,42456049,-73.960607,40.761488,-8233257.110001422,4977224.597493865
492,42456041,-73.96243199999998,40.758981,-8233460.268072123,4976856.152628759
493,42455963,-73.964325,40.756381,-8233670.995868195,4976474.054562736
494,42455934,-73.966157,40.753878,-8233874.933175327,4976106.225811323
495,42455929,-73.9699499,40.748845700000004,-8234297.156871958,4975366.745292913
496,42455915,-73.972576,40.745067999999996,-8234589.4929867275,4974811.661036065
497,42455897,-73.977603,40.738172,-8235149.096066947,4973798.464145976
498,42455887,-73.98030820000002,40.73442470000001,-8235450.237553443,4973247.935002182
499,42455867,-73.987053,40.725203,-8236201.0652549425,4971893.274352359
500,42455761,-73.9936069,40.762184999999995,-8236930.642065655,4977327.035571407
501,42455751,-73.9959432,40.758981,-8237190.717791994,4976856.152628759
502,42455735,-73.99865890000002,40.7552565,-8237493.028133143,4976308.801778421
503,42455705,-73.9181211,40.8655852,-8228527.60124753,4992535.68198376
504,42455695,-73.9574123,40.76586760000001,-8232901.477624187,4977868.285059963
505,42455694,-73.9650969,40.76910720000001,-8233756.923383137,4978344.449498977
506,42455693,-73.968441,40.770517,-8234129.186892299,4978551.672647102
507,42455675,-73.95924000000002,40.763366,-8233104.936257512,4977500.609572448
508,42455662,-73.970281,40.768025,-8234334.014755357,4978185.382478185
509,42455643,-73.9885656,40.7691032,-8236369.447116718,4978343.8615547465
510,42455519,-74.01924129999998,40.7671534,-8239784.250420445,4978057.272353264
511,42455509,-73.924038,40.868473,-8229186.267542605,4992960.775376867
512,42455493,-73.9202964,40.8626109,-8228769.754535853,4992097.8748915605
513,42455480,-73.973055,40.729071999999995,-8234642.815022819,4972461.604622847
514,42455465,-73.984773,40.734012,-8235947.256815935,4973187.305675915
515,42455452,-73.983176,40.73334000000001,-8235769.479589137,4973088.583662032
516,42455412,-73.97603000000002,40.723689,-8234973.99050793,4971670.886853944
517,42455396,-73.977788,40.721277,-8235169.690172745,4971316.604934355
518,42455357,-74.008051,40.7393804,-8238538.55192262,4973976.001091689
519,42455337,-73.92825400000002,40.854321,-8229655.590515791,4990877.7328690495
520,42455335,-73.929147,40.8531,-8229754.998821069,4990698.0339020295
521,42455259,-73.931043,40.850509,-8229966.060575614,4990316.718071177
522,42455252,-73.934232,40.846140999999996,-8230321.058431753,4989673.916030152
523,42455245,-73.93659,40.84291500000001,-8230583.549791043,4989199.199781911
524,42455238,-73.938364,40.840486999999996,-8230781.030567711,4988841.9270330835
525,42455234,-73.939239,40.839296000000004,-8230878.435122154,4988666.6798224095
526,42455200,-74.005427,40.727878999999994,-8238246.449578779,4972286.357363913
527,42455181,-73.9784259,40.7246974,-8235240.700875921,4971819.007528708
528,42455175,-73.98017,40.7222838,-8235434.853199813,4971464.485229313
529,42455119,-73.961522,40.760231,-8233358.967335503,4977039.858941768
530,42455113,-73.9692037,40.7634774,-8234214.090267926,4977516.982418946
531,42455083,-73.982524,40.723278,-8235696.89928114,4971610.5170124285
532,42455051,-73.984837,40.724269,-8235954.381263345,4971756.080938508
533,42455026,-73.99332199999998,40.733304,-8236898.927142726,4973083.295010855
534,42455013,-73.9771353,40.7264834,-8235097.031941104,4972081.352906432
535,42455007,-73.979469,40.727468,-8235356.818236766,4972225.983721518
536,42454997,-73.98179,40.72844600000001,-8235615.190774901,4972369.647161436
537,42454994,-73.98399870000001,40.729372999999995,-8235861.0621342175,4972505.820898687
538,42454970,-73.932622,40.862921,-8230141.834051575,4992143.519664652
539,42454893,-73.9317647,40.863515299999996,-8230046.399852117,4992230.9974907115
540,42454798,-74.00602099999998,40.706142,-8238312.57335631,4969093.822906196
541,42454795,-74.008893,40.709044,-8238632.2829338685,4969519.982199592
542,42454758,-74.008154,40.738141999999996,-8238550.017830173,4973794.056616352
543,42454742,-74.003874,40.738139000000004,-8238073.570409577,4973793.6158635
544,42454701,-73.954104,40.7704,-8232533.199352796,4978534.47492815
545,42454679,-73.965148,40.775045,-8233762.611809118,4979217.262334752
546,42454660,-73.96018199999997,40.758037,-8233209.799217836,4976717.419910668
547,42454642,-74.0089252,40.7311535,-8238635.86742147,4972767.37674744
548,42454622,-73.937494,40.841679,-8230684.18261072,4989017.324539583
549,42454611,-73.935653,40.844201,-8230479.24342817,4989388.436037349
