,interval,month,day,hour,minute,weekday,count
0,2014-11-02 01:15:00,11,2,1,15,6,2232
1,2014-11-02 01:00:00,11,2,1,0,6,2212
2,2014-11-02 01:30:00,11,2,1,30,6,2048
3,2014-11-02 01:45:00,11,2,1,45,6,1901
4,2014-05-23 19:45:00,5,23,19,45,4,1851
5,2014-03-13 19:15:00,3,13,19,15,3,1846
6,2014-04-05 23:45:00,4,5,23,45,5,1837
7,2014-03-13 19:30:00,3,13,19,30,3,1836
8,2014-03-26 20:00:00,3,26,20,0,2,1827
9,2014-03-13 20:15:00,3,13,20,15,3,1827
10,2014-03-13 19:45:00,3,13,19,45,3,1827
11,2014-03-14 19:45:00,3,14,19,45,4,1826
12,2014-02-28 19:45:00,2,28,19,45,4,1814
13,2014-03-07 19:15:00,3,7,19,15,4,1809
14,2014-02-28 19:30:00,2,28,19,30,4,1807
15,2014-07-03 19:00:00,7,3,19,0,3,1803
16,2014-04-23 19:15:00,4,23,19,15,2,1800
17,2014-03-06 19:00:00,3,6,19,0,3,1795
18,2014-03-13 19:00:00,3,13,19,0,3,1795
19,2014-03-05 19:45:00,3,5,19,45,2,1793
20,2014-03-26 19:00:00,3,26,19,0,2,1792
21,2014-04-25 21:45:00,4,25,21,45,4,1791
22,2014-04-04 19:45:00,4,4,19,45,4,1791
23,2014-03-14 19:15:00,3,14,19,15,4,1790
24,2014-05-30 19:30:00,5,30,19,30,4,1789
25,2014-03-06 19:15:00,3,6,19,15,3,1789
26,2014-03-19 19:15:00,3,19,19,15,2,1785
27,2014-03-22 23:00:00,3,22,23,0,5,1785
28,2014-05-30 19:45:00,5,30,19,45,4,1784
29,2014-05-03 19:15:00,5,3,19,15,5,1781
30,2014-03-15 22:30:00,3,15,22,30,5,1780
31,2014-04-05 23:30:00,4,5,23,30,5,1780
32,2014-02-28 19:00:00,2,28,19,0,4,1779
33,2014-03-07 20:15:00,3,7,20,15,4,1779
34,2014-03-28 21:45:00,3,28,21,45,4,1779
35,2014-05-29 19:45:00,5,29,19,45,3,1776
36,2014-04-25 19:15:00,4,25,19,15,4,1776
37,2014-03-15 19:45:00,3,15,19,45,5,1775
38,2014-03-05 18:45:00,3,5,18,45,2,1775
39,2014-04-12 19:15:00,4,12,19,15,5,1775
40,2014-03-29 22:45:00,3,29,22,45,5,1775
41,2014-03-07 19:30:00,3,7,19,30,4,1773
42,2014-01-01 01:00:00,1,1,1,0,2,1769
43,2014-03-12 20:00:00,3,12,20,0,2,1767
44,2014-03-29 23:15:00,3,29,23,15,5,1766
45,2014-02-27 19:45:00,2,27,19,45,3,1765
46,2014-02-08 19:15:00,2,8,19,15,5,1765
47,2014-03-26 19:15:00,3,26,19,15,2,1764
48,2014-03-15 19:30:00,3,15,19,30,5,1763
49,2014-03-13 18:45:00,3,13,18,45,3,1762
50,2014-03-04 19:15:00,3,4,19,15,1,1761
51,2014-02-28 19:15:00,2,28,19,15,4,1761
52,2014-05-23 19:30:00,5,23,19,30,4,1760
