GEOID,x,y,area,population,p_public_transportation_commute,p_walk_commute,mean_commute_time,p_bachelors_degree_or_higher,unemployment_rate,p_GRAPI<15%,p_GRAPI>35%,p_without_health_insurance,p_nonfamily_household,p_vacant_housing_units,p_renter_occupied,median_household_income,p_SNAP_benefits,p_below_poverty_line,p_white,p_age_students,median_age,p_mobile_homes,p_without_person_vehicle,p_veterans,2000,2004,2008,2012,2016
13001950100,858073.2749282031,-954008.2708314396,332.5777971113597,3011,0.0,1.9,20.6,13.7,7.1,61.7,27.1,14.5,25.4,24.8,17.2,58152,14.4,17.4,96.7,10.4,42.4,36.4,6.0,9.0,0.6530747555113543,0.7086092715231789,0.733660366469485,0.7485338292089829,0.793013856812933
13001950200,854327.0070942679,-961700.6049980621,157.96197081843187,4301,1.5,2.0,21.6,11.0,1.6,28.2,20.2,18.5,32.2,20.2,22.1,36552,22.6,19.4,53.8,15.5,38.7,39.8,11.8,8.9,0.6530747555113543,0.7086092715231789,0.733660366469485,0.7485338292089829,0.793013856812933
13001950300,848608.6908031956,-967396.5340072205,72.03037426614918,5609,0.0,0.8,22.9,5.2,8.7,42.1,29.3,17.1,19.1,19.1,38.3,35289,22.1,29.8,72.7,7.1,36.8,26.3,13.5,7.5,0.6530747555113543,0.7086092715231789,0.733660366469485,0.7485338292089829,0.793013856812933
13001950400,866679.7628971987,-977255.2923134486,389.6088170299701,1669,0.0,0.0,30.2,9.8,6.9,0.0,40.6,11.2,28.4,19.5,16.3,43446,15.0,17.0,72.9,17.0,44.4,34.8,5.9,5.0,0.6530747555113543,0.7086092715231789,0.733660366469485,0.7485338292089829,0.793013856812933
13001950500,848558.1281123383,-974848.0577968103,375.6178260948876,3864,0.0,1.2,22.9,11.7,5.3,18.3,31.5,13.5,28.2,25.1,30.0,41281,16.6,25.2,90.9,18.3,38.0,48.7,3.3,6.2,0.6530747555113543,0.7086092715231789,0.733660366469485,0.7485338292089829,0.793013856812933
13003960100,789115.0504277125,-1018344.7308123391,257.7293304405675,2075,0.0,3.5,21.4,11.8,8.3,37.1,17.5,23.0,39.7,25.1,26.5,31055,27.7,30.9,68.2,11.1,37.4,47.1,9.3,5.4,0.5993167398731089,0.6758620689655173,0.6741924279263634,0.6757322175732218,0.7293203883495145
13003960200,803093.664978026,-1022204.7120614819,404.2036619922049,4622,0.0,1.7,22.2,9.5,10.8,16.9,28.0,26.5,31.8,21.6,27.1,35505,18.7,25.9,66.6,18.2,36.0,44.0,8.0,6.2,0.5993167398731089,0.6758620689655173,0.6741924279263634,0.6757322175732218,0.7293203883495145
13003960300,818144.4027249138,-1021373.5479915378,231.98988681500146,1568,0.0,4.9,25.0,8.5,4.3,0.0,51.1,22.6,24.3,9.4,15.7,40662,19.6,40.4,94.1,8.3,33.4,46.0,5.7,5.1,0.5993167398731089,0.6758620689655173,0.6741924279263634,0.6757322175732218,0.7293203883495145
13005970100,848353.1033605632,-988761.9765095973,377.51259664753155,2870,0.0,2.0,18.4,15.4,0.6,40.6,34.2,22.8,30.5,12.3,22.4,40871,6.9,26.8,96.7,11.0,42.4,44.7,0.0,7.9,0.6776803776129467,0.7541633624107851,0.7908346134152586,0.7963439752832132,0.8469284994964753
13005970201,832035.5407944912,-986135.6161968812,167.66722149681328,4269,1.1,1.8,21.4,7.8,7.7,38.9,31.3,15.9,27.2,18.0,36.1,39604,19.0,28.1,74.1,21.8,36.0,28.1,6.7,7.9,0.6776803776129467,0.7541633624107851,0.7908346134152586,0.7963439752832132,0.8469284994964753
