name,lat,lon,x,y
Trumansburg,42.540556,-76.66,0,8
Enfield,42.435278000000004,-76.626667,2,5
Newfield,42.354444,-76.600278,4,2
West Hill,42.466522999999995,-76.539525,8,6
Cayuga Heights,42.466389,-76.486111,12,7
Lansing,42.487778000000006,-76.486111,14,8
Groton,42.586921999999994,-76.364908,18,9
Fall Creek,42.45276,-76.49757199999999,10,6
Northeast,42.471281,-76.46184000000001,14,7
Freeville,42.513000000000005,-76.346,19,7
Dryden,42.489167,-76.35972199999999,19,6
The Commons,42.439602,-76.496907,10,4
Campus,42.449531,-76.471203,12,6
Varna,42.454924,-76.438568,17,6
East Hill,42.437562,-76.463955,13,4
Slaterville,42.395556,-76.35972199999999,18,2
Danby,42.3375,-76.472778,12,0
Caroline,42.365278,-76.343611,20,1
