,name,x,y
0,1,0.0,13.0
1,2,0.0,26.0
2,3,0.0,27.0
3,4,0.0,39.0
4,5,2.0,0.0
5,6,5.0,13.0
6,7,5.0,19.0
7,8,5.0,25.0
8,9,5.0,31.0
9,10,5.0,37.0
10,11,5.0,43.0
11,12,5.0,8.0
12,13,8.0,0.0
13,14,9.0,10.0
14,15,10.0,10.0
15,16,11.0,10.0
16,17,12.0,10.0
17,18,12.0,5.0
18,19,15.0,13.0
19,20,15.0,19.0
20,21,15.0,25.0
21,22,15.0,31.0
22,23,15.0,37.0
23,24,15.0,43.0
24,25,15.0,8.0
25,26,18.0,11.0
26,27,18.0,13.0
27,28,18.0,15.0
28,29,18.0,17.0
29,30,18.0,19.0
30,31,18.0,21.0
31,32,18.0,23.0
32,33,18.0,25.0
33,34,18.0,27.0
34,35,18.0,29.0
35,36,18.0,31.0
36,37,18.0,33.0
37,38,18.0,35.0
38,39,18.0,37.0
39,40,18.0,39.0
40,41,18.0,41.0
41,42,18.0,42.0
42,43,18.0,44.0
43,44,18.0,45.0
44,45,25.0,11.0
45,46,25.0,15.0
46,47,25.0,22.0
47,48,25.0,23.0
48,49,25.0,24.0
49,50,25.0,26.0
50,51,25.0,28.0
51,52,25.0,29.0
52,53,25.0,9.0
53,54,28.0,16.0
54,55,28.0,20.0
55,56,28.0,28.0
56,57,28.0,30.0
57,58,28.0,34.0
58,59,28.0,40.0
59,60,28.0,43.0
60,61,28.0,47.0
61,62,32.0,26.0
62,63,32.0,31.0
63,64,33.0,15.0
64,65,33.0,26.0
65,66,33.0,29.0
66,67,33.0,31.0
67,68,34.0,15.0
68,69,34.0,26.0
69,70,34.0,29.0
70,71,34.0,31.0
71,72,34.0,38.0
72,73,34.0,41.0
73,74,34.0,5.0
74,75,35.0,17.0
75,76,35.0,31.0
76,77,38.0,16.0
77,78,38.0,20.0
78,79,38.0,30.0
79,80,38.0,34.0
80,81,40.0,22.0
81,82,41.0,23.0
82,83,41.0,32.0
83,84,41.0,34.0
84,85,41.0,35.0
85,86,41.0,36.0
86,87,48.0,22.0
87,88,48.0,27.0
88,89,48.0,6.0
89,90,51.0,45.0
90,91,51.0,47.0
91,92,56.0,25.0
92,93,57.0,12.0
93,94,57.0,25.0
94,95,57.0,44.0
95,96,61.0,45.0
96,97,61.0,47.0
97,98,63.0,6.0
98,99,64.0,22.0
99,100,71.0,11.0
100,101,71.0,13.0
101,102,71.0,16.0
102,103,71.0,45.0
103,104,71.0,47.0
104,105,74.0,12.0
105,106,74.0,16.0
106,107,74.0,20.0
107,108,74.0,24.0
108,109,74.0,29.0
109,110,74.0,35.0
110,111,74.0,39.0
111,112,74.0,6.0
112,113,77.0,21.0
113,114,78.0,10.0
114,115,78.0,32.0
115,116,78.0,35.0
116,117,78.0,39.0
117,118,79.0,10.0
118,119,79.0,33.0
119,120,79.0,37.0
120,121,80.0,10.0
121,122,80.0,41.0
122,123,80.0,5.0
123,124,81.0,17.0
124,125,84.0,20.0
125,126,84.0,24.0
126,127,84.0,29.0
127,128,84.0,34.0
128,129,84.0,38.0
129,130,84.0,6.0
130,131,107.0,27.0
