,name,x,y
0,1,0.0,15.0
1,2,0.0,33.0
2,3,0.0,51.0
3,4,0.0,60.0
4,5,2.0,21.0
5,6,2.0,28.0
6,7,2.0,44.0
7,8,5.0,13.0
8,9,5.0,18.0
9,10,5.0,33.0
10,11,5.0,36.0
11,12,5.0,40.0
12,13,5.0,64.0
13,14,5.0,8.0
14,15,9.0,10.0
15,16,10.0,10.0
16,17,10.0,42.0
17,18,11.0,10.0
18,19,11.0,17.0
19,20,11.0,31.0
20,21,11.0,34.0
21,22,11.0,42.0
22,23,12.0,10.0
23,24,12.0,5.0
24,25,12.0,61.0
25,26,15.0,13.0
26,27,15.0,18.0
27,28,15.0,64.0
28,29,15.0,8.0
29,30,17.0,21.0
30,31,18.0,11.0
31,32,18.0,13.0
32,33,18.0,14.0
33,34,18.0,15.0
34,35,18.0,28.0
35,36,25.0,10.0
36,37,25.0,12.0
37,38,25.0,14.0
38,39,25.0,16.0
39,40,25.0,18.0
40,41,25.0,20.0
41,42,25.0,23.0
42,43,25.0,32.0
43,44,25.0,34.0
44,45,25.0,45.0
45,46,25.0,61.0
46,47,28.0,12.0
47,48,28.0,15.0
48,49,28.0,19.0
49,50,28.0,23.0
50,51,28.0,27.0
51,52,28.0,37.0
52,53,28.0,40.0
53,54,28.0,42.0
54,55,28.0,7.0
55,56,32.0,10.0
56,57,32.0,13.0
57,58,33.0,10.0
58,59,33.0,13.0
59,60,34.0,10.0
60,61,34.0,13.0
61,62,34.0,28.0
62,63,34.0,36.0
63,64,34.0,39.0
64,65,34.0,5.0
65,66,34.0,51.0
66,67,35.0,24.0
67,68,38.0,27.0
68,69,38.0,37.0
69,70,38.0,40.0
70,71,38.0,42.0
71,72,40.0,45.0
72,73,41.0,61.0
73,74,48.0,10.0
74,75,48.0,32.0
75,76,48.0,34.0
76,77,48.0,45.0
77,78,48.0,61.0
78,79,51.0,11.0
79,80,51.0,14.0
80,81,51.0,18.0
81,82,51.0,22.0
82,83,51.0,26.0
83,84,51.0,37.0
84,85,51.0,40.0
85,86,51.0,42.0
86,87,51.0,7.0
87,88,54.0,0.0
88,89,55.0,0.0
89,90,55.0,19.0
90,91,55.0,22.0
91,92,55.0,26.0
92,93,56.0,10.0
93,94,56.0,20.0
94,95,56.0,24.0
95,96,57.0,10.0
96,97,57.0,12.0
97,98,57.0,28.0
98,99,57.0,36.0
99,100,57.0,39.0
100,101,57.0,5.0
101,102,57.0,51.0
102,103,58.0,15.0
103,104,61.0,11.0
104,105,61.0,18.0
105,106,61.0,21.0
106,107,61.0,25.0
107,108,61.0,37.0
108,109,61.0,40.0
109,110,61.0,42.0
110,111,63.0,45.0
111,112,64.0,61.0
112,113,71.0,54.0
113,114,71.0,56.0
114,115,71.0,6.0
115,116,72.0,0.0
116,117,73.0,0.0
117,118,74.0,13.0
118,119,74.0,19.0
119,120,74.0,25.0
120,121,74.0,31.0
121,122,74.0,37.0
122,123,74.0,43.0
123,124,74.0,49.0
124,125,74.0,59.0
125,126,74.0,62.0
126,127,74.0,64.0
127,128,78.0,10.0
128,129,79.0,10.0
129,130,80.0,10.0
130,131,80.0,47.0
131,132,80.0,50.0
132,133,80.0,58.0
133,134,80.0,61.0
134,135,81.0,10.0
135,136,84.0,13.0
136,137,84.0,19.0
137,138,84.0,25.0
138,139,84.0,31.0
139,140,84.0,37.0
140,141,84.0,43.0
141,142,84.0,59.0
142,143,84.0,62.0
143,144,84.0,64.0
144,145,86.0,6.0
145,146,87.0,11.0
146,147,87.0,13.0
147,148,87.0,15.0
148,149,87.0,17.0
149,150,87.0,19.0
150,151,87.0,21.0
151,152,87.0,23.0
152,153,87.0,25.0
153,154,87.0,27.0
154,155,87.0,29.0
155,156,87.0,31.0
156,157,87.0,33.0
157,158,87.0,35.0
158,159,87.0,37.0
159,160,87.0,39.0
160,161,87.0,41.0
161,162,87.0,42.0
162,163,87.0,44.0
163,164,87.0,45.0
164,165,94.0,10.0
165,166,94.0,20.0
166,167,94.0,22.0
167,168,94.0,34.0
168,169,94.0,35.0
169,170,94.0,36.0
170,171,94.0,52.0
171,172,94.0,6.0
172,173,97.0,11.0
173,174,97.0,15.0
174,175,97.0,25.0
175,176,97.0,28.0
176,177,97.0,30.0
177,178,97.0,57.0
178,179,97.0,60.0
179,180,97.0,64.0
180,181,102.0,10.0
181,182,103.0,10.0
182,183,103.0,16.0
183,184,103.0,24.0
184,185,103.0,27.0
185,186,103.0,42.0
186,187,103.0,55.0
187,188,103.0,58.0
188,189,104.0,12.0
189,190,107.0,11.0
190,191,107.0,15.0
191,192,107.0,25.0
192,193,107.0,28.0
193,194,107.0,30.0
194,195,109.0,34.0
195,196,109.0,35.0
196,197,109.0,36.0
197,198,109.0,6.0
198,199,110.0,52.0
199,200,117.0,50.0
200,201,117.0,52.0
201,202,117.0,63.0
202,203,120.0,11.0
203,204,120.0,15.0
204,205,120.0,19.0
205,206,120.0,25.0
206,207,120.0,29.0
207,208,120.0,34.0
208,209,120.0,40.0
209,210,120.0,44.0
210,211,120.0,55.0
211,212,120.0,58.0
212,213,120.0,60.0
213,214,120.0,7.0
214,215,123.0,26.0
215,216,124.0,37.0
216,217,124.0,40.0
217,218,124.0,44.0
218,219,125.0,38.0
219,220,125.0,42.0
220,221,126.0,46.0
221,222,126.0,5.0
222,223,126.0,54.0
223,224,126.0,57.0
224,225,127.0,12.0
225,226,127.0,16.0
226,227,130.0,15.0
227,228,130.0,19.0
228,229,130.0,25.0
229,230,130.0,29.0
230,231,130.0,34.0
231,232,130.0,39.0
232,233,130.0,43.0
233,234,130.0,55.0
234,235,130.0,58.0
235,236,130.0,60.0
236,237,132.0,63.0
